Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Longitude,Latitude,Victim Age,Victim Gender,Weapon Used
77,2022-07-12,2021-06-26,07:15,Airoli,107,Homicide,72.934264,19.107281,41,Female,Gun
78,2023-08-07,2022-08-14,08:22,Seawoods,104,Burglary,72.914115,18.921942,54,Other,Knife
79,2022-08-12,2021-05-04,07:45,Kharghar,110,Kidnapping,73.007519,19.067075,64,Other,Explosives
80,2023-04-28,2022-09-29,20:12,Sanpada,103,Assault,72.981141,19.051228,61,Male,Poison
81,2023-03-20,2020-01-14,01:45,Belapur,104,Burglary,72.969084,18.975987,59,Male,Other
82,2023-07-11,2022-09-05,08:35,Turbhe,106,Drug-related crime,73.009889,19.157035,35,Female,Blunt Object
83,2023-03-27,2022-03-21,16:37,Turbhe,103,Assault,72.951619,19.188488,55,Other,Explosives
84,2023-11-30,2020-06-01,21:40,Belapur,109,Cybercrime,72.958849,19.044795,52,Female,Gun
85,2021-12-30,2020-11-12,11:12,Vashi,110,Kidnapping,72.996237,18.948219,40,Other,Other
86,2021-03-08,2020-09-19,07:20,Belapur,109,Cybercrime,73.088122,19.033973,11,Male,Poison
87,2022-07-24,2020-06-22,12:57,Turbhe,101,Theft,72.971207,19.011084,66,Male,None
88,2023-11-21,2023-06-02,02:09,Seawoods,101,Theft,72.923819,19.064782,51,Male,Gun
89,2024-02-18,2020-07-06,23:40,Mansarovar,109,Cybercrime,72.922666,19.099165,63,Female,Gun
90,2021-01-10,2020-12-21,20:27,Nerul,104,Burglary,72.923804,19.053131,22,Other,Knife
91,2024-06-10,2024-01-16,22:34,Belapur,109,Cybercrime,73.071326,18.95842,11,Female,Fire
92,2025-03-12,2020-02-26,15:58,Sanpada,110,Kidnapping,73.031045,19.139028,26,Other,Fire
93,2024-02-27,2021-02-15,19:27,Juhinagar,101,Theft,72.919729,19.179001,79,Male,Blunt Object
94,2021-05-23,2020-11-27,16:11,Koparkhairane,103,Assault,73.00321,19.032651,69,Female,Poison
95,2020-10-30,2020-06-16,08:01,Belapur,110,Kidnapping,73.055391,18.9574,15,Male,Other
96,2024-10-25,2022-12-06,03:57,Kharghar,105,Fraud,72.967184,18.947854,47,Other,Other
97,2020-08-07,2020-01-04,20:55,Airoli,106,Drug-related crime,73.064579,18.972423,17,Male,Other
98,2023-10-01,2021-08-16,17:41,Juhinagar,103,Assault,72.980485,18.987742,27,Female,Explosives
99,2022-03-04,2020-06-07,15:52,Airoli,102,Robbery,72.935306,19.066402,12,Male,Fire
100,2024-04-07,2022-04-01,18:02,Belapur,110,Kidnapping,73.062148,19.128807,24,Other,Other
101,2022-06-18,2020-11-02,18:30,Airoli,109,Cybercrime,72.931297,19.043882,65,Male,Poison
102,2020-01-07,2020-01-01,18:32,Seawoods,106,Drug-related crime,72.939273,18.977808,24,Male,Blunt Object
103,2021-05-15,2020-05-19,02:36,Seawoods,108,Vandalism,73.076609,19.155461,53,Female,Blunt Object
104,2020-05-19,2020-04-30,19:23,Nerul,105,Fraud,73.047206,19.036105,73,Female,None
105,2024-10-02,2024-01-09,14:55,Belapur,105,Fraud,73.073387,19.098265,52,Other,Poison
106,2021-12-28,2020-01-21,19:40,Sanpada,108,Vandalism,73.051453,18.922755,24,Male,None
107,2021-04-15,2020-11-14,11:40,Kharghar,102,Robbery,73.050178,19.04463,67,Other,Other
108,2021-07-31,2020-06-15,02:20,Seawoods,107,Homicide,73.024003,19.137957,37,Other,Gun
109,2021-10-20,2021-09-17,16:54,Belapur,104,Burglary,73.077891,18.935318,37,Female,Blunt Object
110,2022-01-21,2021-12-18,08:51,Sanpada,106,Drug-related crime,72.910575,18.947657,50,Other,None
111,2022-05-02,2021-02-18,05:28,Sanpada,104,Burglary,72.964134,19.145242,33,Female,Other
112,2024-12-10,2020-03-11,07:27,Vashi,106,Drug-related crime,73.025608,19.116056,37,Male,Fire
113,2022-05-19,2020-05-26,22:55,Kharghar,101,Theft,72.982504,19.081061,55,Female,Poison
114,2024-02-01,2020-12-25,23:49,Mansarovar,105,Fraud,73.081295,19.173898,69,Female,Blunt Object
115,2024-08-01,2023-01-30,13:31,Airoli,105,Fraud,72.991124,18.99588,47,Female,Blunt Object
116,2025-01-10,2021-01-29,00:55,Vashi,110,Kidnapping,73.09229,18.958814,45,Other,None
117,2021-08-29,2021-03-06,05:43,Mansarovar,103,Assault,73.073383,18.914513,62,Female,Gun
118,2023-02-26,2021-10-06,16:11,Nerul,106,Drug-related crime,72.957442,18.962116,56,Other,Fire
119,2021-04-21,2020-05-01,20:59,Vashi,109,Cybercrime,73.026635,19.049913,48,Female,Fire
120,2022-07-23,2021-03-28,23:15,Nerul,103,Assault,73.040925,19.044469,59,Female,Gun
121,2021-09-16,2020-02-28,06:05,Juhinagar,104,Burglary,72.998956,19.063976,80,Male,None
122,2021-09-11,2020-04-25,03:41,Juhinagar,110,Kidnapping,73.098492,19.016457,55,Male,Other
123,2020-02-01,2020-01-01,09:20,Belapur,107,Homicide,72.903063,19.139022,13,Male,Poison
124,2020-11-03,2020-01-20,07:35,Turbhe,102,Robbery,73.054189,19.009332,63,Female,Fire
125,2022-04-11,2021-06-26,21:12,Vashi,101,Theft,73.023747,18.929567,23,Female,None
126,2022-06-22,2021-03-13,01:48,Kharghar,102,Robbery,73.032512,19.149424,44,Other,Explosives
127,2023-07-07,2022-10-14,13:14,Kharghar,109,Cybercrime,72.959318,19.127243,51,Male,None
128,2025-02-05,2020-05-18,10:26,Airoli,102,Robbery,72.946943,19.113259,67,Male,Blunt Object
129,2024-08-11,2023-10-27,20:11,Sanpada,107,Homicide,73.026229,18.99665,49,Other,Other
130,2021-01-25,2020-03-13,12:47,Belapur,110,Kidnapping,72.948301,18.991716,41,Female,Knife
131,2023-07-15,2021-07-19,12:37,Juhinagar,109,Cybercrime,73.009937,19.040843,47,Male,None
132,2023-12-11,2021-09-08,20:25,Vashi,108,Vandalism,73.085582,19.183243,71,Female,Explosives
133,2020-05-01,2020-03-29,02:08,Juhinagar,109,Cybercrime,73.007748,19.083661,63,Other,Explosives
134,2021-06-10,2020-01-17,13:12,Turbhe,103,Assault,73.083563,19.081956,21,Female,None
135,2022-06-30,2020-06-13,22:31,Turbhe,105,Fraud,72.925533,19.044657,72,Other,Other
136,2022-08-20,2020-01-02,18:03,Kharghar,109,Cybercrime,73.08971,18.959386,63,Other,Blunt Object
137,2022-10-31,2022-03-14,19:31,Airoli,101,Theft,73.052474,18.969024,58,Male,Explosives
138,2024-06-26,2022-09-29,13:28,Seawoods,102,Robbery,72.97729,19.136821,67,Other,None
139,2020-02-19,2020-01-15,01:54,Nerul,102,Robbery,72.974455,18.95518,14,Male,None
140,2023-02-09,2021-07-10,10:55,Turbhe,102,Robbery,72.923566,19.156301,33,Female,Poison
141,2023-07-23,2020-02-06,19:31,Kharghar,103,Assault,73.002647,18.906706,62,Other,Other
142,2023-12-10,2023-05-20,14:30,Kharghar,102,Robbery,73.087697,19.057095,74,Male,Poison
143,2020-12-08,2020-04-28,17:38,Seawoods,107,Homicide,72.912167,19.02855,80,Female,Blunt Object
144,2021-03-14,2020-12-11,23:47,Sanpada,103,Assault,73.062873,19.048439,53,Female,Other
145,2023-01-23,2022-11-07,08:19,Juhinagar,102,Robbery,72.914697,19.188795,46,Other,Knife
146,2021-01-19,2020-11-15,20:55,Juhinagar,104,Burglary,73.097595,19.155528,10,Female,Explosives
147,2021-04-08,2020-11-04,18:45,Koparkhairane,102,Robbery,72.919186,19.058675,77,Other,Explosives
148,2021-06-28,2020-12-26,16:24,Turbhe,110,Kidnapping,73.09495,19.00078,36,Female,Poison
149,2020-02-02,2020-01-23,05:32,Juhinagar,110,Kidnapping,72.964171,19.097392,15,Other,None
150,2020-03-26,2020-01-08,20:14,Juhinagar,110,Kidnapping,72.925679,18.943381,77,Male,Fire
151,2020-05-06,2020-01-12,23:08,Belapur,106,Drug-related crime,72.940898,19.062254,38,Other,Knife
152,2023-06-06,2020-03-31,09:35,Mansarovar,106,Drug-related crime,72.994046,19.060981,39,Other,Blunt Object
153,2022-06-28,2022-02-12,23:33,Turbhe,105,Fraud,72.927424,18.929575,80,Female,Knife
154,2023-10-01,2021-07-22,04:55,Kharghar,104,Burglary,72.982777,19.077671,29,Male,Explosives
155,2021-02-20,2020-10-17,21:29,Airoli,105,Fraud,73.069269,19.173837,21,Other,Fire
156,2022-12-20,2022-10-22,00:10,Juhinagar,109,Cybercrime,72.95303,19.177752,78,Female,Blunt Object
157,2021-02-13,2020-09-23,00:14,Seawoods,102,Robbery,73.078935,18.961969,67,Male,Explosives
158,2020-11-02,2020-02-17,16:57,Seawoods,107,Homicide,73.018317,19.071707,54,Other,Other
159,2024-02-10,2021-12-14,10:08,Belapur,106,Drug-related crime,73.095392,19.079289,52,Male,None
160,2020-03-10,2020-02-19,01:18,Kharghar,103,Assault,73.073156,19.180964,74,Female,Blunt Object
161,2024-03-06,2020-10-12,16:31,Juhinagar,101,Theft,73.071264,19.165482,47,Male,Explosives
162,2020-04-25,2020-01-17,10:23,Koparkhairane,108,Vandalism,73.004892,19.054885,11,Female,Blunt Object
163,2022-01-18,2020-04-03,11:59,Vashi,106,Drug-related crime,72.950127,18.906909,35,Female,Knife
164,2020-04-17,2020-04-14,18:08,Airoli,109,Cybercrime,72.96525,19.139804,63,Other,Explosives
165,2023-06-12,2020-03-31,23:44,Juhinagar,104,Burglary,73.098582,19.134277,24,Other,Gun
166,2023-08-12,2020-06-13,19:09,Vashi,108,Vandalism,72.954195,19.152331,27,Male,Knife
167,2024-02-20,2020-12-16,18:33,Seawoods,108,Vandalism,72.992582,19.106222,76,Other,Gun
168,2021-03-23,2020-10-28,05:53,Juhinagar,102,Robbery,72.933881,19.193566,26,Male,Blunt Object
169,2021-11-15,2021-03-19,17:35,Juhinagar,104,Burglary,73.058514,18.99615,57,Other,Gun
170,2020-01-20,2020-01-20,11:31,Nerul,105,Fraud,72.971625,18.939615,57,Male,Blunt Object
171,2020-12-28,2020-03-30,19:12,Kharghar,105,Fraud,73.006495,19.152393,54,Other,Gun
172,2022-06-26,2021-08-13,16:18,Seawoods,106,Drug-related crime,73.041552,18.955853,49,Other,Other
173,2023-08-08,2020-09-19,09:37,Kharghar,108,Vandalism,72.995745,18.956006,20,Female,Other
174,2022-04-01,2020-01-20,14:54,Koparkhairane,109,Cybercrime,73.02063,19.0144,52,Male,Gun
175,2024-09-10,2023-08-20,14:26,Seawoods,103,Assault,72.908021,19.129207,17,Female,Other
176,2021-08-15,2020-02-15,10:52,Kharghar,102,Robbery,72.900983,19.090255,43,Female,None
177,2022-07-22,2022-06-14,23:39,Vashi,109,Cybercrime,73.031066,19.075459,29,Female,Poison
178,2021-12-24,2020-07-21,09:16,Koparkhairane,104,Burglary,72.94087,18.918894,30,Female,Gun
179,2024-09-07,2020-09-12,20:28,Turbhe,101,Theft,72.983096,19.151032,47,Other,Poison
180,2020-02-04,2020-01-18,17:39,Juhinagar,102,Robbery,72.930134,19.195138,74,Other,Poison
181,2024-09-07,2024-02-04,12:40,Belapur,108,Vandalism,73.026945,19.034766,73,Male,Other
182,2022-03-12,2020-08-09,15:11,Mansarovar,110,Kidnapping,72.990752,18.961045,57,Other,Explosives
183,2023-05-31,2021-05-08,07:06,Airoli,101,Theft,72.978475,19.05264,12,Female,Fire
184,2022-04-14,2021-07-17,19:40,Seawoods,104,Burglary,72.93343,19.188183,29,Other,Gun
185,2023-12-15,2023-04-10,04:16,Sanpada,110,Kidnapping,72.956231,18.966421,34,Male,Knife
186,2020-09-17,2020-03-10,04:37,Vashi,101,Theft,72.912658,19.083439,45,Other,Blunt Object
187,2020-06-15,2020-01-12,19:29,Vashi,109,Cybercrime,73.008107,19.165543,65,Other,Poison
188,2023-04-10,2022-10-11,11:09,Vashi,106,Drug-related crime,73.055284,19.189532,11,Female,Poison
189,2021-12-24,2020-01-24,10:48,Koparkhairane,109,Cybercrime,73.035916,19.198927,49,Female,Fire
190,2023-05-08,2022-05-26,10:10,Juhinagar,106,Drug-related crime,73.081353,19.140065,79,Other,Poison
191,2022-03-15,2020-03-26,22:53,Belapur,110,Kidnapping,73.005092,19.017937,34,Female,Knife
192,2020-08-27,2020-02-29,15:38,Vashi,107,Homicide,72.900774,19.059245,14,Other,Poison
193,2022-07-28,2021-04-07,08:56,Turbhe,104,Burglary,72.929634,18.92108,62,Female,Other
194,2022-06-03,2021-03-26,18:51,Vashi,101,Theft,73.099314,19.133431,32,Male,Knife
195,2022-04-16,2021-12-10,15:06,Turbhe,102,Robbery,72.981394,18.9849,18,Male,None
196,2024-05-03,2023-10-10,14:34,Koparkhairane,108,Vandalism,72.989807,19.014272,54,Male,Gun
197,2023-05-24,2022-06-18,08:40,Turbhe,109,Cybercrime,73.049199,18.989636,78,Other,Blunt Object
198,2022-03-12,2020-02-03,08:03,Koparkhairane,104,Burglary,73.051443,19.140364,16,Female,Knife
199,2021-01-03,2020-03-18,18:01,Juhinagar,109,Cybercrime,72.989507,19.079925,42,Male,Other
200,2024-04-30,2022-05-08,07:13,Sanpada,101,Theft,72.957907,19.148449,79,Male,Fire
201,2023-10-10,2020-11-18,06:47,Sanpada,110,Kidnapping,73.067425,19.030256,11,Male,Blunt Object
202,2020-12-04,2020-09-26,10:26,Turbhe,104,Burglary,73.06432,19.120947,40,Female,Poison
203,2024-06-20,2021-08-12,19:50,Koparkhairane,106,Drug-related crime,73.005698,18.910195,34,Other,Fire
204,2022-01-09,2021-06-15,15:13,Koparkhairane,110,Kidnapping,73.081816,19.000742,37,Male,Other
205,2024-07-20,2023-09-04,17:06,Seawoods,110,Kidnapping,73.075307,19.061813,20,Male,Fire
206,2022-03-31,2022-02-02,05:47,Kharghar,101,Theft,73.097228,19.184634,30,Male,None
207,2023-11-15,2020-11-19,12:33,Airoli,103,Assault,72.954594,18.943633,14,Female,None
208,2024-09-03,2020-07-24,06:45,Mansarovar,101,Theft,72.99883,18.977688,58,Female,Blunt Object
209,2021-03-01,2020-03-31,21:03,Vashi,107,Homicide,72.907318,18.938213,59,Other,Blunt Object
210,2023-04-10,2022-04-09,10:59,Sanpada,108,Vandalism,73.067244,18.909449,32,Other,None
211,2022-03-29,2021-07-20,07:37,Juhinagar,103,Assault,73.090055,18.90352,79,Female,Explosives
212,2020-10-16,2020-05-02,20:09,Nerul,108,Vandalism,73.039242,18.909892,33,Other,Other
213,2022-12-07,2020-04-21,16:01,Sanpada,109,Cybercrime,73.074421,18.981108,17,Female,Explosives
214,2024-04-18,2022-12-29,08:30,Mansarovar,101,Theft,72.936106,19.162652,65,Male,Other
215,2023-12-27,2020-08-22,10:10,Airoli,104,Burglary,72.936228,19.034403,12,Female,Poison
216,2020-09-08,2020-01-05,11:06,Turbhe,110,Kidnapping,72.964254,19.135007,50,Male,Explosives
217,2020-11-02,2020-07-20,16:56,Belapur,102,Robbery,72.972008,19.035071,20,Other,Knife
218,2023-05-23,2023-04-24,19:03,Juhinagar,102,Robbery,72.992504,19.130378,24,Female,Blunt Object
219,2023-06-03,2022-10-05,12:43,Mansarovar,105,Fraud,72.91956,19.178289,64,Other,Knife
220,2022-09-22,2020-03-15,10:00,Sanpada,109,Cybercrime,72.92808,19.004043,26,Male,Explosives
221,2024-08-03,2024-01-02,11:23,Koparkhairane,102,Robbery,73.081558,19.073714,38,Female,Gun
222,2024-08-16,2021-12-15,07:58,Vashi,105,Fraud,73.010223,19.044543,47,Female,Other
223,2020-08-04,2020-07-31,18:01,Juhinagar,105,Fraud,73.033765,19.061817,35,Other,Blunt Object
224,2022-05-28,2021-02-26,14:12,Mansarovar,106,Drug-related crime,72.949052,19.05658,79,Other,Poison
225,2022-01-15,2020-12-24,08:32,Airoli,106,Drug-related crime,73.085618,19.022773,40,Female,Other
226,2023-09-30,2021-07-02,00:20,Turbhe,110,Kidnapping,72.955604,18.968025,29,Male,Gun
227,2021-09-04,2020-09-21,02:18,Sanpada,110,Kidnapping,73.065092,18.982431,36,Male,Blunt Object
228,2022-02-06,2020-05-17,09:41,Koparkhairane,106,Drug-related crime,72.912791,19.160392,41,Other,Fire
229,2020-09-29,2020-04-25,12:54,Turbhe,107,Homicide,73.074509,19.13188,63,Other,Other
230,2025-01-26,2024-03-25,16:21,Nerul,110,Kidnapping,72.914244,19.16617,33,Female,Blunt Object
231,2024-05-24,2022-08-18,20:09,Turbhe,102,Robbery,72.97247,19.006034,23,Other,Fire
232,2021-11-25,2020-01-13,20:30,Seawoods,109,Cybercrime,72.901878,19.085058,46,Female,None
233,2020-05-29,2020-01-24,01:09,Vashi,102,Robbery,73.016768,19.115351,66,Female,Knife
234,2023-01-11,2022-11-06,06:12,Nerul,106,Drug-related crime,72.9395,18.944187,68,Other,Knife
235,2023-07-11,2020-11-15,07:38,Mansarovar,105,Fraud,72.945431,18.965791,51,Other,Other
236,2022-07-20,2021-06-14,20:06,Mansarovar,109,Cybercrime,73.075759,19.192876,26,Other,Explosives
237,2023-03-19,2022-10-17,23:11,Mansarovar,104,Burglary,73.077239,19.156842,69,Other,Other
238,2023-01-15,2021-11-29,10:35,Koparkhairane,110,Kidnapping,73.09706,19.029807,41,Female,Knife
239,2023-02-05,2021-10-31,18:03,Nerul,105,Fraud,73.023978,19.042756,45,Male,None
240,2023-04-29,2021-01-05,07:12,Nerul,106,Drug-related crime,72.973216,18.961659,54,Male,Gun
241,2022-08-20,2022-08-02,08:53,Nerul,101,Theft,73.089456,19.130566,53,Other,Poison
242,2023-06-17,2023-03-05,14:53,Kharghar,105,Fraud,72.960955,18.927294,61,Female,Fire
243,2020-01-30,2020-01-04,01:57,Turbhe,101,Theft,73.083066,19.064748,50,Female,Gun
244,2024-01-29,2021-01-15,17:01,Airoli,105,Fraud,73.017543,19.047679,21,Female,Fire
245,2024-02-01,2022-07-30,00:19,Belapur,110,Kidnapping,73.03594,19.183523,20,Other,Other
246,2024-10-04,2024-06-02,12:23,Mansarovar,103,Assault,73.04529,19.179798,73,Female,Blunt Object
247,2023-05-14,2020-04-03,03:53,Belapur,105,Fraud,72.920494,19.075332,19,Female,Fire
248,2023-08-23,2021-10-02,14:53,Mansarovar,105,Fraud,72.995859,19.187579,48,Other,Poison
249,2023-04-14,2020-09-06,16:19,Airoli,109,Cybercrime,73.089411,19.073465,75,Female,Poison
250,2022-01-03,2020-10-02,18:27,Juhinagar,110,Kidnapping,73.094736,19.167471,28,Other,Other
251,2024-12-29,2020-11-26,13:09,Kharghar,109,Cybercrime,72.995995,19.056103,58,Other,Explosives
252,2024-06-03,2021-02-25,08:04,Turbhe,105,Fraud,72.929685,19.16543,11,Male,Poison
253,2020-09-11,2020-09-06,09:06,Mansarovar,102,Robbery,72.989812,19.052196,24,Male,None
254,2022-12-17,2021-10-24,16:32,Belapur,109,Cybercrime,73.044373,19.04928,53,Male,Blunt Object
255,2021-01-12,2020-03-26,02:59,Juhinagar,104,Burglary,73.07376,19.126338,38,Other,Poison
256,2020-03-22,2020-02-03,22:43,Airoli,103,Assault,73.047127,19.18498,80,Female,Poison
257,2024-10-27,2022-12-02,03:55,Nerul,106,Drug-related crime,73.071976,19.095151,69,Male,Other
258,2024-07-12,2020-12-07,00:32,Seawoods,106,Drug-related crime,72.941072,18.951938,37,Female,Gun
259,2024-01-06,2023-05-20,21:53,Juhinagar,102,Robbery,73.045356,19.029721,19,Male,Poison
260,2022-05-24,2020-11-28,11:19,Nerul,109,Cybercrime,73.018724,18.999881,63,Female,None
261,2021-11-21,2021-01-30,08:46,Mansarovar,107,Homicide,72.923518,19.144721,18,Other,Fire
